npz_path,class_id,parcel_id,cover_pixels,n_channels
/content/chips_local/parcel_00036480.npz,2,36480,115,61
/content/chips_local/parcel_00025359.npz,1,25359,62,61
/content/chips_local/parcel_00069380.npz,5,69380,57,61
/content/chips_local/parcel_00001819.npz,17,1819,245,61
/content/chips_local/parcel_00084011.npz,8,84011,150,61
/content/chips_local/parcel_00153847.npz,14,153847,116,61
/content/chips_local/parcel_00278283.npz,19,278283,84,61
/content/chips_local/parcel_00112434.npz,7,112434,259,61
/content/chips_local/parcel_00081566.npz,6,81566,51,61
/content/chips_local/parcel_00156135.npz,12,156135,78,61
/content/chips_local/parcel_00024677.npz,17,24677,249,61
/content/chips_local/parcel_00105438.npz,6,105438,103,61
/content/chips_local/parcel_00079436.npz,6,79436,97,61
/content/chips_local/parcel_00022638.npz,9,22638,437,61
/content/chips_local/parcel_00178303.npz,10,178303,56,61
/content/chips_local/parcel_00058206.npz,11,58206,119,61
/content/chips_local/parcel_00136205.npz,14,136205,94,61
/content/chips_local/parcel_00064380.npz,7,64380,74,61
/content/chips_local/parcel_00078506.npz,5,78506,167,61
/content/chips_local/parcel_00044073.npz,4,44073,175,61
/content/chips_local/parcel_00056942.npz,6,56942,155,61
/content/chips_local/parcel_00379676.npz,17,379676,67,61
/content/chips_local/parcel_00032680.npz,14,32680,454,61
/content/chips_local/parcel_00037070.npz,1,37070,145,61
/content/chips_local/parcel_00103499.npz,10,103499,78,61
/content/chips_local/parcel_00159051.npz,10,159051,1897,61
/content/chips_local/parcel_00047899.npz,8,47899,60,61
/content/chips_local/parcel_00074726.npz,11,74726,70,61
/content/chips_local/parcel_00028786.npz,4,28786,76,61
/content/chips_local/parcel_00108922.npz,9,108922,103,61
/content/chips_local/parcel_00034097.npz,7,34097,252,61
/content/chips_local/parcel_00068110.npz,6,68110,144,61
/content/chips_local/parcel_00001543.npz,0,1543,65,61
/content/chips_local/parcel_00362995.npz,18,362995,133,61
/content/chips_local/parcel_00057186.npz,2,57186,141,61
/content/chips_local/parcel_00000586.npz,0,586,92,61
/content/chips_local/parcel_00001345.npz,3,1345,124,61
/content/chips_local/parcel_00000285.npz,0,285,57,61
/content/chips_local/parcel_00069893.npz,6,69893,73,61
/content/chips_local/parcel_00260850.npz,11,260850,98,61
/content/chips_local/parcel_00112406.npz,10,112406,164,61
/content/chips_local/parcel_00057746.npz,2,57746,95,61
/content/chips_local/parcel_00080265.npz,7,80265,98,61
/content/chips_local/parcel_00015325.npz,3,15325,95,61
/content/chips_local/parcel_00076790.npz,7,76790,251,61
/content/chips_local/parcel_00071290.npz,9,71290,256,61
/content/chips_local/parcel_00066261.npz,2,66261,90,61
/content/chips_local/parcel_00018722.npz,3,18722,79,61
/content/chips_local/parcel_00210285.npz,11,210285,93,61
/content/chips_local/parcel_00030956.npz,3,30956,146,61
/content/chips_local/parcel_00059389.npz,9,59389,202,61
/content/chips_local/parcel_00038764.npz,7,38764,105,61
/content/chips_local/parcel_00074306.npz,12,74306,118,61
/content/chips_local/parcel_00001040.npz,1,1040,81,61
/content/chips_local/parcel_00039890.npz,4,39890,121,61
/content/chips_local/parcel_00363311.npz,19,363311,100,61
/content/chips_local/parcel_00041261.npz,8,41261,235,61
/content/chips_local/parcel_00374372.npz,14,374372,275,61
/content/chips_local/parcel_00023394.npz,6,23394,89,61
/content/chips_local/parcel_00043700.npz,1,43700,70,61
/content/chips_local/parcel_00052945.npz,4,52945,53,61
/content/chips_local/parcel_00041320.npz,2,41320,58,61
/content/chips_local/parcel_00034028.npz,4,34028,79,61
/content/chips_local/parcel_00025449.npz,4,25449,61,61
/content/chips_local/parcel_00050976.npz,11,50976,154,61
/content/chips_local/parcel_00036484.npz,2,36484,85,61
/content/chips_local/parcel_00031756.npz,12,31756,51,61
/content/chips_local/parcel_00039503.npz,3,39503,60,61
/content/chips_local/parcel_00086446.npz,12,86446,89,61
/content/chips_local/parcel_00238617.npz,11,238617,178,61
/content/chips_local/parcel_00178563.npz,10,178563,133,61
/content/chips_local/parcel_00049970.npz,2,49970,104,61
/content/chips_local/parcel_00027029.npz,3,27029,204,61
/content/chips_local/parcel_00213113.npz,10,213113,143,61
/content/chips_local/parcel_00056208.npz,2,56208,61,61
/content/chips_local/parcel_00066796.npz,2,66796,90,61
/content/chips_local/parcel_00109605.npz,6,109605,54,61
/content/chips_local/parcel_00041965.npz,8,41965,50,61
/content/chips_local/parcel_00086500.npz,9,86500,91,61
/content/chips_local/parcel_00064967.npz,9,64967,100,61
/content/chips_local/parcel_00085583.npz,11,85583,90,61
/content/chips_local/parcel_00172030.npz,15,172030,104,61
/content/chips_local/parcel_00134865.npz,10,134865,244,61
/content/chips_local/parcel_00019316.npz,1,19316,109,61
/content/chips_local/parcel_00105301.npz,6,105301,112,61
/content/chips_local/parcel_00080853.npz,5,80853,78,61
/content/chips_local/parcel_00240017.npz,10,240017,238,61
/content/chips_local/parcel_00059536.npz,14,59536,118,61
/content/chips_local/parcel_00091883.npz,6,91883,100,61
